"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","[FAIL] Eliminate render-blocking resources","Lighthouse","Thu Feb 19 18:22:35 UTC 2026","failed","Thu Feb 19 18:22:35 UTC 2026","","Failed Audits","",""
"","1","CodeQL: Not run","Security Dashboard","Thu Feb 19 18:23:04 UTC 2026","broken","Thu Feb 19 18:23:04 UTC 2026","","Tool Status","",""
"","1","High Risk: 0","OWASP ZAP","Thu Feb 19 18:21:25 UTC 2026","passed","Thu Feb 19 18:21:25 UTC 2026","","By Risk Level","",""
"","1","Security Posture: Clean","Security Dashboard","Thu Feb 19 18:23:04 UTC 2026","passed","Thu Feb 19 18:23:04 UTC 2026","","Overview","",""
"","1","[FAIL] Max Potential First Input Delay","Lighthouse","Thu Feb 19 18:22:35 UTC 2026","failed","Thu Feb 19 18:22:35 UTC 2026","","Failed Audits","",""
"","1","[FAIL] Largest Contentful Paint element","Lighthouse","Thu Feb 19 18:22:35 UTC 2026","failed","Thu Feb 19 18:22:35 UTC 2026","","Failed Audits","",""
"","1","[LOW] Cross-Origin-Embedder-Policy Header Missing or Invalid","OWASP ZAP","Thu Feb 19 18:21:25 UTC 2026","passed","Thu Feb 19 18:21:25 UTC 2026","","Alerts","",""
"","1","Gitleaks: Not run","Security Dashboard","Thu Feb 19 18:23:04 UTC 2026","broken","Thu Feb 19 18:23:04 UTC 2026","","Tool Status","",""
"","1","[LOW] Permissions Policy Header Not Set","OWASP ZAP","Thu Feb 19 18:21:25 UTC 2026","passed","Thu Feb 19 18:21:25 UTC 2026","","Alerts","",""
"","1","[FAIL] First Contentful Paint","Lighthouse","Thu Feb 19 18:22:35 UTC 2026","failed","Thu Feb 19 18:22:35 UTC 2026","","Failed Audits","",""
"","1","Accessibility: 100%","Lighthouse","Thu Feb 19 18:22:35 UTC 2026","passed","Thu Feb 19 18:22:35 UTC 2026","","Scores","",""
"","1","[FAIL] Network dependency tree","Lighthouse","Thu Feb 19 18:22:35 UTC 2026","failed","Thu Feb 19 18:22:35 UTC 2026","","Failed Audits","",""
"","1","[LOW] Timestamp Disclosure - Unix","OWASP ZAP","Thu Feb 19 18:21:25 UTC 2026","passed","Thu Feb 19 18:21:25 UTC 2026","","Alerts","",""
"","1","[FAIL] Render blocking requests","Lighthouse","Thu Feb 19 18:22:35 UTC 2026","failed","Thu Feb 19 18:22:35 UTC 2026","","Failed Audits","",""
"","1","SEO: 100%","Lighthouse","Thu Feb 19 18:22:35 UTC 2026","passed","Thu Feb 19 18:22:35 UTC 2026","","Scores","",""
"","1","Informational Risk: 4","OWASP ZAP","Thu Feb 19 18:21:25 UTC 2026","passed","Thu Feb 19 18:21:25 UTC 2026","","By Risk Level","",""
"","1","Best Practices: 100%","Lighthouse","Thu Feb 19 18:22:35 UTC 2026","passed","Thu Feb 19 18:22:35 UTC 2026","","Scores","",""
"","1","Medium Risk: 0","OWASP ZAP","Thu Feb 19 18:21:25 UTC 2026","passed","Thu Feb 19 18:21:25 UTC 2026","","By Risk Level","",""
"","1","npm audit: Not run","Security Dashboard","Thu Feb 19 18:23:04 UTC 2026","broken","Thu Feb 19 18:23:04 UTC 2026","","Tool Status","",""
"","1","Low Risk: 3","OWASP ZAP","Thu Feb 19 18:21:25 UTC 2026","passed","Thu Feb 19 18:21:25 UTC 2026","","By Risk Level","",""
"","1","[FAIL] Minimize main-thread work","Lighthouse","Thu Feb 19 18:22:35 UTC 2026","failed","Thu Feb 19 18:22:35 UTC 2026","","Failed Audits","",""
"","1","SonarCloud: Not run","Security Dashboard","Thu Feb 19 18:23:04 UTC 2026","broken","Thu Feb 19 18:23:04 UTC 2026","","Tool Status","",""
"","1","OWASP ZAP: Clean","Security Dashboard","Thu Feb 19 18:23:04 UTC 2026","passed","Thu Feb 19 18:23:04 UTC 2026","","Tool Status","",""
"","1","[FAIL] Reduce unused CSS","Lighthouse","Thu Feb 19 18:22:35 UTC 2026","failed","Thu Feb 19 18:22:35 UTC 2026","","Failed Audits","",""
"","1","[INFORMATIONAL] Storable but Non-Cacheable Content","OWASP ZAP","Thu Feb 19 18:21:25 UTC 2026","passed","Thu Feb 19 18:21:25 UTC 2026","","Alerts","",""
"","1","[INFORMATIONAL] Information Disclosure - Suspicious Comments","OWASP ZAP","Thu Feb 19 18:21:25 UTC 2026","passed","Thu Feb 19 18:21:25 UTC 2026","","Alerts","",""
"","1","Performance: 77%","Lighthouse","Thu Feb 19 18:22:35 UTC 2026","passed","Thu Feb 19 18:22:35 UTC 2026","","Scores","",""
"","1","[FAIL] Reduce unused JavaScript","Lighthouse","Thu Feb 19 18:22:35 UTC 2026","failed","Thu Feb 19 18:22:35 UTC 2026","","Failed Audits","",""
"","1","DAST Scan: No critical findings","OWASP ZAP","Thu Feb 19 18:21:25 UTC 2026","passed","Thu Feb 19 18:21:25 UTC 2026","","Summary","",""
"","1","Lighthouse Audit: All categories passed","Lighthouse","Thu Feb 19 18:22:35 UTC 2026","passed","Thu Feb 19 18:22:35 UTC 2026","","Summary","",""
"","1","[INFORMATIONAL] Modern Web Application","OWASP ZAP","Thu Feb 19 18:21:25 UTC 2026","passed","Thu Feb 19 18:21:25 UTC 2026","","Alerts","",""
