"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Medium Risk: 0","OWASP ZAP","Sat Jul 11 18:59:20 UTC 2026","passed","Sat Jul 11 18:59:20 UTC 2026","","By Risk Level","",""
"","1","Informational Risk: 2","OWASP ZAP","Sat Jul 11 18:59:20 UTC 2026","passed","Sat Jul 11 18:59:20 UTC 2026","","By Risk Level","",""
"","1","[FAIL] Max Potential First Input Delay","Lighthouse","Sat Jul 11 19:00:13 UTC 2026","failed","Sat Jul 11 19:00:13 UTC 2026","","Failed Audits","",""
"","1","npm audit: Not run","Security Dashboard","Sat Jul 11 19:00:44 UTC 2026","broken","Sat Jul 11 19:00:44 UTC 2026","","Tool Status","",""
"","1","DAST Scan: No critical findings","OWASP ZAP","Sat Jul 11 18:59:20 UTC 2026","passed","Sat Jul 11 18:59:20 UTC 2026","","Summary","",""
"","1","[FAIL] Largest Contentful Paint element","Lighthouse","Sat Jul 11 19:00:13 UTC 2026","failed","Sat Jul 11 19:00:13 UTC 2026","","Failed Audits","",""
"","1","[FAIL] Reduce unused CSS","Lighthouse","Sat Jul 11 19:00:13 UTC 2026","failed","Sat Jul 11 19:00:13 UTC 2026","","Failed Audits","",""
"","1","[LOW] Timestamp Disclosure - Unix","OWASP ZAP","Sat Jul 11 18:59:20 UTC 2026","passed","Sat Jul 11 18:59:20 UTC 2026","","Alerts","",""
"","1","Lighthouse Audit: All categories passed","Lighthouse","Sat Jul 11 19:00:13 UTC 2026","passed","Sat Jul 11 19:00:13 UTC 2026","","Summary","",""
"","1","OWASP ZAP: Clean","Security Dashboard","Sat Jul 11 19:00:44 UTC 2026","passed","Sat Jul 11 19:00:44 UTC 2026","","Tool Status","",""
"","1","Security Posture: Clean","Security Dashboard","Sat Jul 11 19:00:44 UTC 2026","passed","Sat Jul 11 19:00:44 UTC 2026","","Overview","",""
"","1","Gitleaks: Not run","Security Dashboard","Sat Jul 11 19:00:44 UTC 2026","broken","Sat Jul 11 19:00:44 UTC 2026","","Tool Status","",""
"","1","High Risk: 0","OWASP ZAP","Sat Jul 11 18:59:20 UTC 2026","passed","Sat Jul 11 18:59:20 UTC 2026","","By Risk Level","",""
"","1","[FAIL] Render blocking requests","Lighthouse","Sat Jul 11 19:00:13 UTC 2026","failed","Sat Jul 11 19:00:13 UTC 2026","","Failed Audits","",""
"","1","[FAIL] Eliminate render-blocking resources","Lighthouse","Sat Jul 11 19:00:13 UTC 2026","failed","Sat Jul 11 19:00:13 UTC 2026","","Failed Audits","",""
"","1","[LOW] Permissions Policy Header Not Set","OWASP ZAP","Sat Jul 11 18:59:20 UTC 2026","passed","Sat Jul 11 18:59:20 UTC 2026","","Alerts","",""
"","1","[FAIL] Reduce unused JavaScript","Lighthouse","Sat Jul 11 19:00:13 UTC 2026","failed","Sat Jul 11 19:00:13 UTC 2026","","Failed Audits","",""
"","1","Best Practices: 100%","Lighthouse","Sat Jul 11 19:00:13 UTC 2026","passed","Sat Jul 11 19:00:13 UTC 2026","","Scores","",""
"","1","Low Risk: 3","OWASP ZAP","Sat Jul 11 18:59:20 UTC 2026","passed","Sat Jul 11 18:59:20 UTC 2026","","By Risk Level","",""
"","1","[FAIL] Network dependency tree","Lighthouse","Sat Jul 11 19:00:13 UTC 2026","failed","Sat Jul 11 19:00:13 UTC 2026","","Failed Audits","",""
"","1","Performance: 83%","Lighthouse","Sat Jul 11 19:00:13 UTC 2026","passed","Sat Jul 11 19:00:13 UTC 2026","","Scores","",""
"","1","SonarCloud: Not run","Security Dashboard","Sat Jul 11 19:00:44 UTC 2026","broken","Sat Jul 11 19:00:44 UTC 2026","","Tool Status","",""
"","1","[FAIL] Minimize main-thread work","Lighthouse","Sat Jul 11 19:00:13 UTC 2026","failed","Sat Jul 11 19:00:13 UTC 2026","","Failed Audits","",""
"","1","SEO: 100%","Lighthouse","Sat Jul 11 19:00:13 UTC 2026","passed","Sat Jul 11 19:00:13 UTC 2026","","Scores","",""
"","1","[INFORMATIONAL] Storable and Cacheable Content","OWASP ZAP","Sat Jul 11 18:59:20 UTC 2026","passed","Sat Jul 11 18:59:20 UTC 2026","","Alerts","",""
"","1","[LOW] Cross-Origin-Embedder-Policy Header Missing or Invalid","OWASP ZAP","Sat Jul 11 18:59:20 UTC 2026","passed","Sat Jul 11 18:59:20 UTC 2026","","Alerts","",""
"","1","Accessibility: 100%","Lighthouse","Sat Jul 11 19:00:13 UTC 2026","passed","Sat Jul 11 19:00:13 UTC 2026","","Scores","",""
"","1","[INFORMATIONAL] Modern Web Application","OWASP ZAP","Sat Jul 11 18:59:20 UTC 2026","passed","Sat Jul 11 18:59:20 UTC 2026","","Alerts","",""
"","1","CodeQL: Not run","Security Dashboard","Sat Jul 11 19:00:44 UTC 2026","broken","Sat Jul 11 19:00:44 UTC 2026","","Tool Status","",""
