"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Best Practices: 100%","Lighthouse","Thu Mar 19 18:21:13 UTC 2026","passed","Thu Mar 19 18:21:13 UTC 2026","","Scores","",""
"","1","SEO: 100%","Lighthouse","Thu Mar 19 18:21:13 UTC 2026","passed","Thu Mar 19 18:21:13 UTC 2026","","Scores","",""
"","1","[LOW] Timestamp Disclosure - Unix","OWASP ZAP","Thu Mar 19 18:20:26 UTC 2026","passed","Thu Mar 19 18:20:26 UTC 2026","","Alerts","",""
"","1","[FAIL] Network dependency tree","Lighthouse","Thu Mar 19 18:21:13 UTC 2026","failed","Thu Mar 19 18:21:13 UTC 2026","","Failed Audits","",""
"","1","Low Risk: 3","OWASP ZAP","Thu Mar 19 18:20:26 UTC 2026","passed","Thu Mar 19 18:20:26 UTC 2026","","By Risk Level","",""
"","1","Gitleaks: Not run","Security Dashboard","Thu Mar 19 18:21:40 UTC 2026","broken","Thu Mar 19 18:21:40 UTC 2026","","Tool Status","",""
"","1","Medium Risk: 0","OWASP ZAP","Thu Mar 19 18:20:26 UTC 2026","passed","Thu Mar 19 18:20:26 UTC 2026","","By Risk Level","",""
"","1","[INFORMATIONAL] Modern Web Application","OWASP ZAP","Thu Mar 19 18:20:26 UTC 2026","passed","Thu Mar 19 18:20:26 UTC 2026","","Alerts","",""
"","1","[LOW] Permissions Policy Header Not Set","OWASP ZAP","Thu Mar 19 18:20:26 UTC 2026","passed","Thu Mar 19 18:20:26 UTC 2026","","Alerts","",""
"","1","[LOW] Cross-Origin-Embedder-Policy Header Missing or Invalid","OWASP ZAP","Thu Mar 19 18:20:26 UTC 2026","passed","Thu Mar 19 18:20:26 UTC 2026","","Alerts","",""
"","1","[FAIL] Render blocking requests","Lighthouse","Thu Mar 19 18:21:13 UTC 2026","failed","Thu Mar 19 18:21:13 UTC 2026","","Failed Audits","",""
"","1","npm audit: Not run","Security Dashboard","Thu Mar 19 18:21:40 UTC 2026","broken","Thu Mar 19 18:21:40 UTC 2026","","Tool Status","",""
"","1","SonarCloud: Not run","Security Dashboard","Thu Mar 19 18:21:40 UTC 2026","broken","Thu Mar 19 18:21:40 UTC 2026","","Tool Status","",""
"","1","Security Posture: Clean","Security Dashboard","Thu Mar 19 18:21:40 UTC 2026","passed","Thu Mar 19 18:21:40 UTC 2026","","Overview","",""
"","1","[FAIL] Reduce unused CSS","Lighthouse","Thu Mar 19 18:21:13 UTC 2026","failed","Thu Mar 19 18:21:13 UTC 2026","","Failed Audits","",""
"","1","Lighthouse Audit: All categories passed","Lighthouse","Thu Mar 19 18:21:13 UTC 2026","passed","Thu Mar 19 18:21:13 UTC 2026","","Summary","",""
"","1","DAST Scan: No critical findings","OWASP ZAP","Thu Mar 19 18:20:26 UTC 2026","passed","Thu Mar 19 18:20:26 UTC 2026","","Summary","",""
"","1","Informational Risk: 3","OWASP ZAP","Thu Mar 19 18:20:26 UTC 2026","passed","Thu Mar 19 18:20:26 UTC 2026","","By Risk Level","",""
"","1","Performance: 90%","Lighthouse","Thu Mar 19 18:21:13 UTC 2026","passed","Thu Mar 19 18:21:13 UTC 2026","","Scores","",""
"","1","Accessibility: 100%","Lighthouse","Thu Mar 19 18:21:13 UTC 2026","passed","Thu Mar 19 18:21:13 UTC 2026","","Scores","",""
"","1","[INFORMATIONAL] Storable but Non-Cacheable Content","OWASP ZAP","Thu Mar 19 18:20:26 UTC 2026","passed","Thu Mar 19 18:20:26 UTC 2026","","Alerts","",""
"","1","[FAIL] Reduce unused JavaScript","Lighthouse","Thu Mar 19 18:21:13 UTC 2026","failed","Thu Mar 19 18:21:13 UTC 2026","","Failed Audits","",""
"","1","[FAIL] Largest Contentful Paint element","Lighthouse","Thu Mar 19 18:21:13 UTC 2026","failed","Thu Mar 19 18:21:13 UTC 2026","","Failed Audits","",""
"","1","OWASP ZAP: Clean","Security Dashboard","Thu Mar 19 18:21:40 UTC 2026","passed","Thu Mar 19 18:21:40 UTC 2026","","Tool Status","",""
"","1","[FAIL] Eliminate render-blocking resources","Lighthouse","Thu Mar 19 18:21:13 UTC 2026","failed","Thu Mar 19 18:21:13 UTC 2026","","Failed Audits","",""
"","1","High Risk: 0","OWASP ZAP","Thu Mar 19 18:20:26 UTC 2026","passed","Thu Mar 19 18:20:26 UTC 2026","","By Risk Level","",""
"","1","CodeQL: Not run","Security Dashboard","Thu Mar 19 18:21:40 UTC 2026","broken","Thu Mar 19 18:21:40 UTC 2026","","Tool Status","",""
