"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","SEO: 100%","Lighthouse","Sun Mar 01 18:09:31 UTC 2026","passed","Sun Mar 01 18:09:31 UTC 2026","","Scores","",""
"","1","Informational Risk: 4","OWASP ZAP","Sun Mar 01 18:08:38 UTC 2026","passed","Sun Mar 01 18:08:38 UTC 2026","","By Risk Level","",""
"","1","[FAIL] First Contentful Paint","Lighthouse","Sun Mar 01 18:09:31 UTC 2026","failed","Sun Mar 01 18:09:31 UTC 2026","","Failed Audits","",""
"","1","[INFORMATIONAL] Storable and Cacheable Content","OWASP ZAP","Sun Mar 01 18:08:38 UTC 2026","passed","Sun Mar 01 18:08:38 UTC 2026","","Alerts","",""
"","1","Accessibility: 100%","Lighthouse","Sun Mar 01 18:09:31 UTC 2026","passed","Sun Mar 01 18:09:31 UTC 2026","","Scores","",""
"","1","Lighthouse Audit: All categories passed","Lighthouse","Sun Mar 01 18:09:31 UTC 2026","passed","Sun Mar 01 18:09:31 UTC 2026","","Summary","",""
"","1","[FAIL] Render blocking requests","Lighthouse","Sun Mar 01 18:09:31 UTC 2026","failed","Sun Mar 01 18:09:31 UTC 2026","","Failed Audits","",""
"","1","Gitleaks: Not run","Security Dashboard","Sun Mar 01 18:10:06 UTC 2026","broken","Sun Mar 01 18:10:06 UTC 2026","","Tool Status","",""
"","1","CodeQL: Not run","Security Dashboard","Sun Mar 01 18:10:06 UTC 2026","broken","Sun Mar 01 18:10:06 UTC 2026","","Tool Status","",""
"","1","npm audit: Not run","Security Dashboard","Sun Mar 01 18:10:06 UTC 2026","broken","Sun Mar 01 18:10:06 UTC 2026","","Tool Status","",""
"","1","[FAIL] Largest Contentful Paint element","Lighthouse","Sun Mar 01 18:09:31 UTC 2026","failed","Sun Mar 01 18:09:31 UTC 2026","","Failed Audits","",""
"","1","[FAIL] Eliminate render-blocking resources","Lighthouse","Sun Mar 01 18:09:31 UTC 2026","failed","Sun Mar 01 18:09:31 UTC 2026","","Failed Audits","",""
"","1","High Risk: 0","OWASP ZAP","Sun Mar 01 18:08:38 UTC 2026","passed","Sun Mar 01 18:08:38 UTC 2026","","By Risk Level","",""
"","1","[FAIL] Max Potential First Input Delay","Lighthouse","Sun Mar 01 18:09:31 UTC 2026","failed","Sun Mar 01 18:09:31 UTC 2026","","Failed Audits","",""
"","1","[INFORMATIONAL] Modern Web Application","OWASP ZAP","Sun Mar 01 18:08:38 UTC 2026","passed","Sun Mar 01 18:08:38 UTC 2026","","Alerts","",""
"","1","OWASP ZAP: Clean","Security Dashboard","Sun Mar 01 18:10:06 UTC 2026","passed","Sun Mar 01 18:10:06 UTC 2026","","Tool Status","",""
"","1","[FAIL] Network dependency tree","Lighthouse","Sun Mar 01 18:09:31 UTC 2026","failed","Sun Mar 01 18:09:31 UTC 2026","","Failed Audits","",""
"","1","Performance: 78%","Lighthouse","Sun Mar 01 18:09:31 UTC 2026","passed","Sun Mar 01 18:09:31 UTC 2026","","Scores","",""
"","1","Low Risk: 3","OWASP ZAP","Sun Mar 01 18:08:38 UTC 2026","passed","Sun Mar 01 18:08:38 UTC 2026","","By Risk Level","",""
"","1","SonarCloud: Not run","Security Dashboard","Sun Mar 01 18:10:06 UTC 2026","broken","Sun Mar 01 18:10:06 UTC 2026","","Tool Status","",""
"","1","Medium Risk: 0","OWASP ZAP","Sun Mar 01 18:08:38 UTC 2026","passed","Sun Mar 01 18:08:38 UTC 2026","","By Risk Level","",""
"","1","[FAIL] Reduce unused JavaScript","Lighthouse","Sun Mar 01 18:09:31 UTC 2026","failed","Sun Mar 01 18:09:31 UTC 2026","","Failed Audits","",""
"","1","[LOW] Cross-Origin-Embedder-Policy Header Missing or Invalid","OWASP ZAP","Sun Mar 01 18:08:38 UTC 2026","passed","Sun Mar 01 18:08:38 UTC 2026","","Alerts","",""
"","1","[FAIL] Reduce unused CSS","Lighthouse","Sun Mar 01 18:09:31 UTC 2026","failed","Sun Mar 01 18:09:31 UTC 2026","","Failed Audits","",""
"","1","[FAIL] Minimize main-thread work","Lighthouse","Sun Mar 01 18:09:31 UTC 2026","failed","Sun Mar 01 18:09:31 UTC 2026","","Failed Audits","",""
"","1","Security Posture: Clean","Security Dashboard","Sun Mar 01 18:10:06 UTC 2026","passed","Sun Mar 01 18:10:06 UTC 2026","","Overview","",""
"","1","[LOW] Timestamp Disclosure - Unix","OWASP ZAP","Sun Mar 01 18:08:38 UTC 2026","passed","Sun Mar 01 18:08:38 UTC 2026","","Alerts","",""
"","1","Best Practices: 100%","Lighthouse","Sun Mar 01 18:09:31 UTC 2026","passed","Sun Mar 01 18:09:31 UTC 2026","","Scores","",""
"","1","[INFORMATIONAL] Information Disclosure - Suspicious Comments","OWASP ZAP","Sun Mar 01 18:08:38 UTC 2026","passed","Sun Mar 01 18:08:38 UTC 2026","","Alerts","",""
"","1","[LOW] Permissions Policy Header Not Set","OWASP ZAP","Sun Mar 01 18:08:38 UTC 2026","passed","Sun Mar 01 18:08:38 UTC 2026","","Alerts","",""
"","1","DAST Scan: No critical findings","OWASP ZAP","Sun Mar 01 18:08:38 UTC 2026","passed","Sun Mar 01 18:08:38 UTC 2026","","Summary","",""
